State,District,Population,Males,Females,Growth from1991 to 2001.,Number.of.households,Household.size..per.household.,Sex ratio of females per 1000 males,Sex ratio for age 0-6 years,Percentage.to.total.population..ST.,Religion1.Name,Religion1.Population,Religion2.Name,Religion2.Population,Religion3.Name,Religion3.Population,Population literacy,Male Literacy,Female Literacy,Population Literacy Rate,Male Literacy Rate,Female Literacy Rate,Total People Educated,Data.without.level,Below Primary School,Primary School,Middle School,Population completed 10th Grade,Population Graduates,Age from 0-4 years,Age from 5-14 years,Age from 15-59 years,Age 60 and above,Total Workers,Main.workers,Marginal.workers,Non.workers,Total Inhabited Villages,Drinking water facilities,Safe Drinking water,Electricity Power Supply,Primary school,Middle schools,Secondary Senior schools,PermanentHouse,Semi permanent House,Temporary House
Andhra,"District Andamans (01), Andaman & Nicobar Islands (35)",314084,170319,143765,30.14,70167,4,844,959,0.92,Hindus,235862,Christians,49033,Muslims,27134,226600,131223,95377,82.49,87.36,76.62,226600,1623,48339,62233,49731,50748,13909,27505,64496,204928,17155,116631,100683,15948,197453,331,331,293,233,185,83,71,28.7,39.1,32
Andhra,"District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,7.19,8075,5,857,936,63.15,Christians,28145,Hindus,10727,Muslims,2131,26535,15608,10927,72.35,78.55,65.01,26535,346,5062,8544,6439,5150,994,3736,8307,27535,2490,19623,12924,6699,22445,170,169,163,96,53,25,22,28,33.3,38.7
Andhra,"District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,19.06,524649,5,989,962,16.74,NA,2207843,NA,236844,NA,24392,1112189,688072,424117,52.68,64.98,40.3,1112189,46680,347433,305503,114789,254169,43564,243389,659331,1417252,168031,1123248,912287,210961,1364755,1586,1585,1580,1585,1521,429,196,53,39.9,7
Andhra,"District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,14.98,484588,5,1017,958,7.07,Hindus,1983275,Muslims,338824,Christians,16204,1044788,642996,401792,52.02,64.91,39.48,1044788,43604,288554,304556,106517,249549,51926,216402,567129,1382370,179784,1159606,971911,187695,1186079,854,854,854,854,839,417,256,52.8,37.6,9.6
Andhra,"District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,14.47,813797,4,998,961,2.6,Hindus,3251834,Muslims,213811,Christians,20576,1661089,1013328,647761,54.9,67.09,42.75,1661089,57595,445208,478883,189226,409110,81001,302570,796148,2077569,315535,1711559,1458954,252605,1780263,1047,1047,1046,1047,1039,668,391,55.8,36.4,7.8
Andhra,"District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,17.29,521018,5,974,964,5.04,Hindus,2334169,Muslims,296486,Christians,34651,1171134,738208,432926,51.65,64.33,38.66,1171134,56841,339163,322529,118592,282352,51608,255985,677807,1523368,212937,1293657,1060051,233606,1376440,1225,1225,1225,1225,1215,555,274,49.3,42.6,8.1
Andhra,"District Hyderabad (05), Andhra Pradesh (28)",3829753,1981173,1848580,17.18,695906,6,933,942,0.9,Hindus,2121963,Muslims,1576583,Christians,92915,2634949,1449602,1185347,78.8,83.74,73.5,2634949,104630,347414,561772,244588,909398,466744,319253,864415,2401792,244293,1119842,1032298,87544,2709911,NA,NA,NA,NA,NA,NA,NA,86,11.9,2
Andhra,"District Rangareddi (06), Andhra Pradesh (28)",3575064,1839227,1735837,37.41,742590,5,944,959,4.09,Hindus,3063118,Muslims,408281,Christians,89893,2034381,1192100,842281,66.16,75.26,56.49,2034381,78742,404250,489521,193364,607300,260503,324169,842909,2173360,234626,1437606,1264403,173203,2137458,860,860,860,858,839,405,238,78.6,18.2,3.1
Andhra,"District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,13.97,688212,5,972,951,7.93,Hindus,3193932,Muslims,296975,Christians,18800,1317521,850414,467107,44.41,56.63,31.89,1317521,66105,371893,353924,128269,329607,67575,345446,937792,1969070,261626,1823329,1482426,340903,1690605,1477,1475,1468,1477,1456,658,335,39.9,34.7,25.4
Andhra,"District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,13.55,723015,4,966,951,10.55,Hindus,3040212,Muslims,170553,Christians,32452,1595643,981875,613768,57.15,69.23,44.68,1595643,67688,474835,439802,175590,352049,85612,295103,801673,1876515,274691,1594666,1308907,285759,1653316,1124,1124,1124,1124,1098,599,367,50.1,26.9,23
Andhra,"District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,14.63,729110,4,973,955,14.1,Hindus,3028537,Muslims,177217,Christians,33354,1595745,973527,622218,57.13,68.88,45.09,1595745,62694,428105,418774,174537,411463,99917,288972,776786,1898639,281607,1566237,1277468,288769,1679767,984,984,984,984,971,587,340,49.9,32.8,17.2
Andhra,"District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,15.78,601659,4,975,970,26.47,Hindus,2406066,Muslims,137639,Christians,30777,1267944,745679,522265,56.89,66.11,47.44,1267944,40606,362116,377075,139285,275834,72950,231625,618242,1533620,195440,1244376,1039322,205054,1334551,1101,1100,1090,1100,1000,417,253,46.4,12.5,41.1
Andhra,"District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,8.93,582377,4,1014,967,5.96,Hindus,2513087,Christians,14199,Muslims,7759,1217659,731778,485881,55.31,67.19,43.68,1217659,59831,314768,406889,140816,236099,59134,226342,588640,1522214,200397,1201816,870624,331192,1335777,1715,1715,1713,1715,1645,511,273,47.8,8.7,43.5
Andhra,"District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,6.36,514912,4,1009,979,9.55,Hindus,2214541,Christians,15495,Muslims,15472,997482,605038,392444,51.07,62.37,39.91,997482,41776,256539,345163,107395,191992,54462,198760,502372,1378957,169165,1174164,912375,261789,1075090,1455,1453,1374,1455,1371,352,194,49.9,5.2,45
Andhra,"District Visakhapatnam (13), Andhra Pradesh (28)",3832336,1930197,1902139,15.36,887003,4,985,976,14.55,Hindus,3688280,Muslims,71669,Christians,62227,2002316,1171082,831234,59.96,69.68,50.12,2002316,75488,417446,577938,211419,535115,184767,324433,850611,2411639,245653,1602761,1305584,297177,2229575,3108,3091,1746,3098,2293,423,241,58.8,11.1,30.2
Andhra,"District West Godavari (15), Andhra Pradesh (28)",3803517,1910038,1893479,7.92,947276,4,991,969,2.54,Hindus,3580207,Christians,138363,Muslims,79048,2458822,1308598,1150224,73.53,78.05,68.99,2458822,76849,715101,867078,239220,438313,122202,310484,829811,2358503,304719,1678335,1425708,252627,2125182,845,844,843,845,805,425,311,54,11.3,34.7
Andhra,"District Krishna (16), Andhra Pradesh (28)",4187841,2117401,2070440,14.05,1011891,4,978,963,2.57,Hindus,3729204,Muslims,265617,Christians,182614,2539974,1386261,1153713,68.85,74.39,63.19,2539974,76918,603868,807042,269230,605480,177102,333263,903289,2618300,332989,1841597,1575433,266164,2346244,948,948,944,948,931,482,281,50.8,11.5,37.7
Andhra,"District Guntur (17), Andhra Pradesh (28)",4465144,2250279,2214865,7.27,1077303,4,984,959,4.66,Hindus,3834204,Muslims,487839,Christians,131713,2455965,1407402,1048563,62.54,71.24,53.74,2455965,94688,579683,804976,241137,559524,175832,357400,954636,2756023,397085,2190299,1869886,320413,2274845,694,694,693,694,690,423,337,53.4,15.2,31.4
Andhra,"District Prakasam (18), Andhra Pradesh (28)",3059423,1552332,1507091,10.72,702559,4,971,954,3.86,Hindus,2825681,Muslims,195637,Christians,32674,1532126,938482,593644,57.38,69.35,45.08,1532126,49645,391396,512915,143921,341687,92527,259093,689994,1833665,276671,1537544,1306772,230772,1521879,992,992,991,992,941,417,318,59.8,16.4,23.8
Andhra,"District Nellore (19), Andhra Pradesh (28)",2668564,1344935,1323629,11.18,640942,4,984,954,9.08,Hindus,2382701,Muslims,248676,Christians,31593,1522866,866975,655891,65.08,73.67,56.38,1522866,73132,375380,515113,149694,316461,93056,223622,562645,1663646,218651,1211702,985312,226390,1456862,1110,1110,1099,1110,1053,397,266,57.3,10.5,32.2
